steamid,wave
76561198829038854, 84.62
76561199437958368, 84.57
76561199023809112, 84.57
76561198366424742, 84.55
76561198803876539, 84.54
76561199247257635, 84.51
76561199056923917, 84.50
76561199157180904, 84.46
76561199019985274, 84.46
76561199826101983, 84.43
76561199221581572, 84.42
76561199465987635, 84.41
76561199004242692, 84.38
76561199491262047, 84.36
76561199444776566, 84.28
76561199577008412, 84.27
76561198130974104, 84.26
76561199176512119, 84.25
76561198431070116, 84.23
76561199802165376, 84.20
76561198394163872, 84.15
76561198817625622, 84.04
76561199593999696, 84.03
76561199819745586, 83.97
76561199111016362, 83.93
76561199132673612, 83.90
76561199147830018, 83.87
76561199741456509, 83.85
76561199125437054, 83.82
76561199411163202, 83.75
76561199512329724, 83.74
76561199000819597, 83.72
76561199229376474, 83.71
76561199507045330, 83.69
76561199176521937, 83.69
76561198881709645, 83.69
76561198344324818, 83.68
76561198440844602, 83.59
76561199225526741, 83.57
76561198208259521, 83.57
76561198824855455, 83.55
76561198873909020, 83.50
76561198358170432, 83.50
76561199143180443, 83.47
76561199762699856, 83.46
76561199551847540, 83.45
76561198163707197, 83.44
76561199510232443, 83.43
76561199396461887, 83.42
76561198325880046, 83.42
76561199777570628, 83.37
76561198372454012, 83.36
76561198848416096, 83.31
76561198974927038, 83.31
76561199509071378, 83.30
76561199395272986, 83.26
76561199070084613, 83.23
76561198359630289, 83.19
76561198879225299, 83.06
76561199230822157, 83.00
76561198211119609, 83.00
76561198049689576, 82.96
76561199106836150, 82.91
76561199056227130, 82.89
76561199136193349, 82.86
76561199155165610, 82.86
76561199085557704, 82.80
76561199021159993, 82.78
76561199276801940, 82.78
76561199068559112, 82.74
76561198348941144, 82.71
76561199061872446, 82.68
76561199557301845, 82.68
76561198852651963, 82.65
76561199407477966, 82.61
76561198070674260, 82.59
76561199471549752, 82.57
76561199501699239, 82.55
76561199157045563, 82.54
76561199384672031, 82.50
76561198217139381, 82.47
76561199804971395, 82.46
76561198948597428, 82.46
76561199275126702, 82.45
76561199685923360, 82.45
76561198347753150, 82.45
76561199567803953, 82.41
76561199669384123, 82.40
76561198076536053, 82.36
76561198451100272, 82.26
76561198050891084, 82.24
76561199093277454, 82.18
76561199097424373, 82.13
76561198291744204, 82.13
76561198856092919, 82.10
76561198413753152, 82.10
76561197989635371, 82.00
76561198758918141, 81.98
76561199060822090, 81.94
76561199144861540, 81.90
76561198855109426, 81.88
76561199136158883, 81.88
76561199215347846, 81.84
76561199101739457, 81.80
76561199256622471, 81.79
76561198798935366, 81.78
76561198204729585, 81.76
76561199443557498, 81.74
76561198976702659, 81.71
76561198955330321, 81.71
76561198826688900, 81.70
76561199594502066, 81.67
76561199465506872, 81.67
76561198268358920, 81.64
76561199547403304, 81.59
76561199052683567, 81.58
76561198865500890, 81.57
76561199135993229, 81.55
76561199374550156, 81.54
76561198130272849, 81.52
76561198122707760, 81.52
76561199642396432, 81.48
76561199479088256, 81.48
76561199489329072, 81.48
76561199580907336, 81.45
76561198198671223, 81.45
76561198039435379, 81.43
76561199144827265, 81.41
76561199339934858, 81.40
76561198407860201, 81.39
76561199204167339, 81.38
76561199230133800, 81.38
76561199119920930, 81.38
76561199225580386, 81.33
76561198833608264, 81.30
76561198381523387, 81.30
76561199602013831, 81.29
76561198840185054, 81.29
76561198221624644, 81.29
76561198422074098, 81.27
76561199456003605, 81.26
76561199205156851, 81.24
76561199446666337, 81.22
76561198433864318, 81.21
76561199123242156, 81.17
76561198867123787, 81.17
76561199198568599, 81.11
76561199229705929, 81.10
76561199731566957, 81.07
76561199716378572, 81.07
76561199230098579, 81.00
76561199103734153, 81.00
76561199447045916, 80.97
76561199843470117, 80.97
76561199352591142, 80.96
76561199008606760, 80.92
76561198882882348, 80.83
76561199415461168, 80.81
76561199391688983, 80.81
76561199258755623, 80.78
76561198838680555, 80.77
76561199228680475, 80.75
76561198879821773, 80.72
76561199153128706, 80.71
76561198357396428, 80.69
76561199446480451, 80.69
76561199673977772, 80.69
76561199528060727, 80.68
76561199245375159, 80.67
76561199577876425, 80.64
76561199045961412, 80.64
76561198066074151, 80.59
76561199240320411, 80.58
76561198980830495, 80.57
76561199789386317, 80.55
76561199036483949, 80.52
76561199523091208, 80.51
76561199542720427, 80.48
76561199483050039, 80.47
76561198864955952, 80.43
76561198836027089, 80.43
76561198984181405, 80.41
76561199833124268, 80.39
76561198416655215, 80.39
76561198176737818, 80.39
76561199058778236, 80.39
76561199176344814, 80.38
76561199050939272, 80.38
76561198451805725, 80.35
76561198201202422, 80.33
76561199705767657, 80.32
76561198415253453, 80.32
76561198833190773, 80.31
76561199107843432, 80.28
76561199246120178, 80.27
76561198267673419, 80.27
76561198027659391, 80.26
76561199024504222, 80.25
76561198079159807, 80.23
76561198347290032, 80.21
76561199225632664, 80.19
76561199258696991, 80.18
76561199220665083, 80.18
76561199229462606, 80.17
76561199141210894, 80.17
76561199490674357, 80.14
76561199016259048, 80.12
76561199000092089, 80.10
76561199661166612, 80.08
76561198972045953, 80.01
76561198272332544, 80.00
76561199629783613, 79.86
76561199486777094, 79.85
76561199330153963, 79.85
76561199502291104, 79.84
76561199376356139, 79.84
76561199031931568, 79.82
