steamid,wave
76561198848945724, 74.33
76561198245667360, 74.32
76561198306014359, 74.31
76561199580182603, 74.31
76561198996624238, 74.25
76561199180854532, 74.21
76561199046845423, 74.16
76561199012785050, 74.13
76561199225016275, 74.00
76561198970830957, 73.88
76561199071749099, 73.88
76561198973584244, 73.88
76561198883027310, 73.87
76561199529149749, 73.84
76561199124345923, 73.83
76561199468601489, 73.83
76561199232872462, 73.82
76561198409831621, 73.82
76561199028085270, 73.81
76561199139038094, 73.79
76561198119197768, 73.78
76561198425029843, 73.77
76561199223326085, 73.76
76561199238712659, 73.74
76561198003305207, 73.73
76561199525169321, 73.70
76561198314467072, 73.69
76561199682113606, 73.64
76561198821605175, 73.62
76561199360989942, 73.60
76561198826442415, 73.57
76561199079930559, 73.53
76561198271183235, 73.50
76561198453264906, 73.47
76561198953000857, 73.44
76561198073744178, 73.44
76561199080833121, 73.43
76561198044014478, 73.41
76561197996963983, 73.40
76561199545990819, 73.38
76561198970099718, 73.38
76561198239845074, 73.38
76561198144754963, 73.35
76561199048435102, 73.33
76561198088884796, 73.33
76561199069964864, 73.32
76561198106859701, 73.27
76561198803222298, 73.26
76561198053374231, 73.26
76561199121227558, 73.25
76561199231438050, 73.21
76561198181007471, 73.21
76561198087359881, 73.14
76561198343542021, 73.13
76561199082756659, 73.00
76561198281969336, 73.00
76561198034744341, 73.00
76561198058595853, 72.90
76561198315803417, 72.85
76561199102461399, 72.82
76561198074339034, 72.81
76561198365672717, 72.79
76561198977453910, 72.79
76561199135809635, 72.78
76561198135651070, 72.76
76561199453227783, 72.76
76561199540163024, 72.75
76561198397707081, 72.75
76561198096562087, 72.74
76561199216069226, 72.71
76561198238981322, 72.71
76561198384671957, 72.71
76561198873199629, 72.68
76561198985418044, 72.67
76561198444746868, 72.67
76561198374612277, 72.67
76561198107173125, 72.67
76561199325981124, 72.64
76561198137387608, 72.64
76561199124657916, 72.63
76561198852862896, 72.63
76561198875302686, 72.62
76561199231071580, 72.61
76561199137882745, 72.61
76561198110137971, 72.60
76561199530102403, 72.59
76561199076175006, 72.56
76561198068701411, 72.56
76561199236886024, 72.55
76561198360843713, 72.53
76561198110531982, 72.53
76561198128167460, 72.50
76561198146309367, 72.47
76561197972570678, 72.44
76561199217472667, 72.44
76561198083218151, 72.43
76561198089481310, 72.42
76561199554484477, 72.42
76561199055450640, 72.41
76561198261704034, 72.41
76561198129256094, 72.41
76561199401644633, 72.40
76561198057220797, 72.39
76561198181603299, 72.38
76561199634424333, 72.36
76561198289119580, 72.35
76561199092842542, 72.33
76561198272279295, 72.33
76561199174992211, 72.32
76561199056423273, 72.32
76561199198814183, 72.31
76561199105080799, 72.30
76561199485040209, 72.29
76561199510377573, 72.27
76561198988749182, 72.26
76561198859322419, 72.20
76561199114925329, 72.08
76561199146631805, 71.89
76561199016106096, 71.89
76561199482295919, 71.81
76561199206492093, 71.81
76561198275995814, 71.80
76561199087665196, 71.73
76561198216226203, 71.73
76561198436608338, 71.71
76561198006760376, 71.69
76561198050585814, 71.69
76561198149066250, 71.68
76561199388222824, 71.67
76561198847091192, 71.67
76561199089811362, 71.66
76561199422608475, 71.63
76561198106861347, 71.62
76561199231287442, 71.61
76561198856092919, 71.61
76561198800335124, 71.58
76561199190036601, 71.57
76561199225825070, 71.54
76561199001761957, 71.50
76561198332681152, 71.50
76561198136653977, 71.50
76561199396264330, 71.46
76561199576193001, 71.45
76561199000819597, 71.45
76561198272123927, 71.41
76561198983618508, 71.41
76561198848110907, 71.38
76561198295166025, 71.38
76561199468252115, 71.38
76561198979114595, 71.38
76561198398316428, 71.36
76561198852200396, 71.33
76561198153749605, 71.31
76561199020063496, 71.31
76561199082983184, 71.30
76561199180894424, 71.27
76561199095296318, 71.27
76561199117243269, 71.25
76561198248376192, 71.20
76561198157148715, 71.19
76561199658094992, 71.18
76561198860931552, 71.17
76561198332476364, 71.17
76561198275858038, 71.17
76561198238687460, 71.15
76561198451869383, 71.13
76561199118776730, 71.10
76561198795816513, 71.08
76561199575752852, 71.00
76561199496887907, 71.00
76561199438905387, 71.00
76561199185548477, 71.00
76561199121700301, 71.00
76561198446035738, 71.00
76561198119493564, 71.00
