steamid,wave
76561199166936199, 86.65
76561198981583614, 86.65
76561199601462596, 86.61
76561199203687775, 86.60
76561199474167683, 86.58
76561198963586260, 86.58
76561198975134620, 86.58
76561198397707081, 86.56
76561198128706846, 86.53
76561198132784001, 86.48
76561198306405797, 86.48
76561198219678115, 86.47
76561198134494502, 86.45
76561198100504544, 86.44
76561199089750002, 86.42
76561199403076851, 86.40
76561199010573290, 86.40
76561199515088091, 86.38
76561199364353454, 86.38
76561199246436311, 86.38
76561198989855413, 86.37
76561199219943198, 86.36
76561198083969998, 86.29
76561198984228021, 86.27
76561199569651069, 86.27
76561199731982136, 86.24
76561198301473912, 86.17
76561199162601968, 86.16
76561198072146463, 86.14
76561198072503648, 86.12
76561199127994174, 86.11
76561199072737343, 86.10
76561199865159883, 86.09
76561197977352676, 86.00
76561199247805069, 85.96
76561199112823298, 85.93
76561199760764463, 85.93
76561198313716600, 85.93
76561199244723061, 85.90
76561199130233253, 85.90
76561199378893343, 85.89
76561199130796969, 85.89
76561199204849811, 85.84
76561198253006719, 85.83
76561198091517266, 85.81
76561199221743123, 85.81
76561199543587032, 85.80
76561199124170061, 85.78
76561198117437537, 85.76
76561199035713573, 85.75
76561199083781543, 85.75
76561199652865476, 85.73
76561199219110805, 85.71
76561199025286157, 85.70
76561199757450987, 85.70
76561198891913552, 85.69
76561198868408739, 85.68
76561199513211950, 85.67
76561199137774522, 85.67
76561199131759128, 85.67
76561198288574270, 85.65
76561199028392420, 85.64
76561198142774611, 85.63
76561198095474331, 85.62
76561199209917275, 85.57
76561198274312274, 85.53
76561199014748920, 85.51
76561199171176920, 85.50
76561198970125960, 85.44
76561198135615668, 85.43
76561199137882745, 85.42
76561199325981124, 85.41
76561199217989817, 85.40
76561199029934944, 85.39
76561198137387608, 85.39
76561199441440020, 85.33
76561198962643742, 85.33
76561198948467709, 85.33
76561199159989582, 85.32
76561198826354377, 85.31
76561198817698773, 85.30
76561198977773288, 85.29
76561198999839113, 85.27
76561198967587404, 85.27
76561198094230610, 85.27
76561198438465184, 85.25
76561198862110261, 85.22
76561198314467072, 85.20
76561199224709860, 85.18
76561198732909086, 85.18
76561198205349296, 85.17
76561199553289810, 85.06
76561199515129930, 85.00
76561199562587572, 85.00
76561198145369662, 84.95
76561198379771262, 84.91
76561198058595853, 84.88
76561199124345923, 84.88
76561199077622658, 84.86
76561199045547521, 84.84
76561198209476064, 84.83
76561199060728210, 84.81
76561199237584327, 84.80
76561199208419485, 84.79
76561198917559216, 84.77
76561198214529753, 84.77
76561199214315049, 84.73
76561199590633937, 84.71
76561198357452780, 84.71
76561198970540818, 84.70
76561198204688177, 84.70
76561199011858650, 84.67
76561198282225609, 84.65
76561199236524161, 84.65
76561199209931394, 84.65
76561199039870564, 84.64
76561198261704034, 84.61
76561199400678603, 84.59
76561198205347421, 84.59
76561199739434390, 84.56
76561199051246789, 84.56
76561198354338231, 84.56
76561199573299864, 84.51
76561199098421339, 84.50
76561198047693753, 84.49
76561199163275168, 84.47
76561199050939272, 84.46
76561198961456618, 84.45
76561198821577248, 84.45
76561199360989942, 84.43
76561199387529530, 84.38
76561199167287447, 84.36
76561199225632664, 84.33
76561198986950607, 84.33
76561199157618677, 84.31
76561199210696365, 84.30
76561199108999754, 84.27
76561199799574050, 84.24
76561199082983184, 84.24
76561198835032771, 84.22
76561197963340618, 84.16
76561198143173566, 84.12
76561198076574096, 84.01
76561199126204627, 83.97
76561199084159457, 83.97
76561199267222855, 83.94
76561198146694624, 83.94
76561198327149734, 83.92
76561199456003605, 83.92
76561199088776461, 83.88
76561199218136244, 83.84
76561199002402145, 83.84
76561198420483016, 83.83
76561198325577521, 83.81
76561199091202046, 83.79
76561198879922854, 83.79
76561199503331074, 83.76
76561198846527254, 83.73
76561199212250095, 83.71
76561199614629791, 83.70
76561199140665706, 83.70
76561198385032239, 83.69
76561198202131464, 83.68
